Cobit Code,Cobit omschrijving,Cobit Vraag,AFM eigenaar,Secundair,Legenda,
APO07.03 Maintain the skills and competencies of personnel.,"Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfil their roles on the basis of their education, training and/or experience, and verify that these competencies are being maintained, using qualification and certification programmes where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals. ",2. Use certification to ensure a quality information security professional skill set. ,HR,,,
APO07.03 Maintain the skills and competencies of personnel.,"Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfil their roles on the basis of their education, training and/or experience, and verify that these competencies are being maintained, using qualification and certification programmes where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals. ","3. Establish appropriate enterprisewide education, training and awareness programmes for information security. ",HR,,,
APO07.04 Evaluate employee job performance. ,"Perform timely performance evaluations on a regular basis against individual objectives derived from the enterprise’s goals, established standards, specific job responsibilities, and the skills and competency framework. Employees should receive coaching on performance and conduct whenever appropriate. ",1. Incorporate information security criteria in the personnel evaluation process. ,HR,,,
APO07.05 Plan and track the usage of IT and business human resources.,"Understand and track the current and future demand for business and IT human resources with responsibilities for enterprise IT. Identify shortfalls and provide input into sourcing plans, enterprise and IT recruitment processes sourcing plans, and business and IT recruitment processes. ",1. Manage allocation of information security staff according to the business requirements. ,HR,,,
APO07.06 Manage contract staff. ,Ensure that consultants and contract personnel who support the enterprise with IT skills know and comply with the organisation’s policies and meet agreed-on contractual requirements. ,1. Obtain formal agreement from staff on information security policies and requirements. ,ISO2,,,
APO08.01 Understand business expectations. ,"Understand current business issues and objectives and business expectations for IT. Ensure that requirements are understood, managed and communicated, and their status agreed on and approved. ",1. Understand the business and how information security enables/affects it. ,ISO2,,,
"APO08.02 Identify opportunities, risk and constraints for IT to enhance the business.",Identify potential opportunities for IT to be an enabler of enhanced enterprise performance. ,1. Understand information security trends and new technologies and how they can be applied innovatively to enhance business process performance. ,ISO1,,,
APO08.03 Manage the business relationship. ,"Manage the relationship with customers (business representatives). Ensure that relationship roles and responsibilities are defined and assigned, and communication is facilitated. ",1. Establish an approach for influencing key contacts regarding information security. ,ISO2,,,
APO08.04 Co-ordinate and communicate. ,Work with stakeholders and co-ordinate the end-to-end delivery of IT services and solutions provided to the business. ,1. Establish appropriate communication channels between the information security function and the business. ,ISO2,,,
APO08.04 Co-ordinate and communicate. ,Work with stakeholders and co-ordinate the end-to-end delivery of IT services and solutions provided to the business. ,2. Establish the appropriate reporting and metrics regarding information security. ,ISO2,,,
APO08.05 Provide input to the continual improvement of services.,Continually improve and evolve IT-enabled services and service delivery to the enterprise to align with changing enterprise and technology requirements. ,1. Incorporate information security requirements in the continual improvement process. ,ISO2,,,
APO09.01 Identify IT services. ,"Analyse business requirements and the way in which IT-enabled services and service levels support business processes. Discuss and agree on potential services and service levels with the business, and compare them with the current service portfolio to identify new or changed services or service level options. ",1. Identify the information security requirements of the identified IT services. ,IT,,,
APO09.01 Identify IT services. ,"Analyse business requirements and the way in which IT-enabled services and service levels support business processes. Discuss and agree on potential services and service levels with the business, and compare them with the current service portfolio to identify new or changed services or service level options. ",2. Develop and verify portfolio information security services. ,ISO2,,,
APO09.02 Catalogue IT-enabled services. ,Define and maintain one or more service catalogues for relevant target groups. Publish and maintain live IT-enabled services in the service catalogues. ,1. Publish an information security service catalogue. ,ISO1,,,
APO09.03 Define and prepare service agreements. ,Define and prepare service agreements based on the options in the service catalogues. Include internal operational agreements. ,1. Include information security requirements in all SLAs. ,ISO1,,,
APO09.4 Monitor and report service levels. ,"Monitor service levels, report on achievements and identify trends. Provide the appropriate management information to aid performance management. ",1. Monitor information security effectiveness within service level monitoring. ,ISO1,,,
APO09.05 Review service agreements and contracts. ,Conduct periodic reviews of the service agreements and revise when needed. ,1. Periodically review information security requirements based on updated business needs. ,IAD,,,
APO10.01 Identify and evaluate supplier relationships and contracts.,"Identify suppliers and associated contracts and categorise them into type, significance and criticality. Establish supplier and contract evaluation criteria and evaluate the overall portfolio of existing and alternative suppliers and contracts. ",1. Conduct information risk assessments and define the information risk profile. ,RM,,,
APO10.01 Identify and evaluate supplier relationships and contracts.,"Identify suppliers and associated contracts and categorise them into type, significance and criticality. Establish supplier and contract evaluation criteria and evaluate the overall portfolio of existing and alternative suppliers and contracts. ",2. Define the supplier relationship and requirements based on the information risk profile. ,IT,,,
APO10.02 Select suppliers. ,Select suppliers according to a fair and formal practice to ensure a viable best fit based on specified requirements. Requirements should be optimised with input from potential suppliers. ,,,,,
APO10.03 Manage supplier relationships and contracts.,"Formalise and manage the supplier relationship for each supplier. Manage, maintain and monitor contracts and service delivery. Ensure that new or changed contracts conform to enterprise standards and legal and regulatory requirements. Deal with contractual disputes. ",,,,,
APO10.04 Manage supplier risk. ,"Identify and manage risk relating to suppliers’ ability to continually provide secure, efficient and effective service delivery. ",1. Periodically reassess supplier risk profiles based on information security requirements and other requirements. ,ISO1,,,
APO10.05 Monitor supplier performance and compliance.,"Periodically review the overall performance of suppliers, compliance to contract requirements, and value for money, and address identified issues. ","1. Monitor whether suppliers guarantee a secure, efficient and effective service delivery. ",ISO1,,,
APO11.01 Establish a quality management system (QMS). ,"Establish and maintain a QMS that provides a standard, formal and continuous approach to quality management for information, enabling technology and business processes that
are aligned with business requirements and enterprise quality management.",1. Determine information security good practices. ,IAD,,,
"APO11.02 Define and manage quality standards, practices and procedures. ","Identify and maintain requirements, standards, procedures and practices for key processes to guide the enterprise in meeting be in line with the IT control framework requirements. Consider certification for key processes, organisational units, products or services. ",1. Align the information security practices with the QMS.,RMI,,,
APO11.03 Focus quality management on customers.,Focus quality management on customers by determining their requirements and ensuring alignment with the quality management practices. ,1. Obtain customer agreement on information security SLA requirements. ,IM,,,
"APO11.04 Perform quality monitoring, control and reviews.","Monitor the quality of processes and services Define, plan and implement measurements to monitor customer satisfaction with quality information gathered should be used by the process owners to improve quality. ",1. Define information security quality metrics to measure the achievement of information security requirements and the efficient functioning of information security controls. ,ISO2,,,
"APO11.04 Perform quality monitoring, control and reviews.","Monitor the quality of processes and services Define, plan and implement measurements to monitor customer satisfaction with quality information gathered should be used by the process owners to improve quality. ",2. Monitor the information security quality metrics. ,ISO1,,,
"APO11.04 Perform quality monitoring, control and reviews.","Monitor the quality of processes and services Define, plan and implement measurements to monitor customer satisfaction with quality information gathered should be used by the process owners to improve quality. ",3. Take corrective action to address quality issues in the information security function. ,RM,,,
APO11.05 Integrate quality management into solutions for development and service delivery.,"Incorporate relevant quality management practices into the definition, monitoring, reporting and ongoing management of solutions development and service offerings. ","1. Identify, document and communicate root causes for information security issues with quality metrics. ",ISO1,,,
APO11.05 Integrate quality management into solutions for development and service delivery.,"Incorporate relevant quality management practices into the definition, monitoring, reporting and ongoing management of solutions development and service offerings. ",2. Apply corrective practices to remediate quality issues. ,ISO1,,,
APO11.06 Maintain continuous improvement.,"Maintain and regularly communicate an overall quality plan that promotes continuous improvement. This should include the need for, and benefits of, continuous improvement. and improve its effectiveness. Correct non-conformities to prevent recurrence. Promote a culture of quality and continual improvement. ",,,,,
APO12.01 Collect data. ,"Identify and collect relevant data to enable effective IT-related risk identification, analysis and reporting. ","1. Identify and collect relevant data to enable effective information security-related risk identification, analysis and reporting. ",ISO1,,,
APO12.02 Analyse risk. ,Develop useful information to support risk decisions that take into account the business relevance of risk factors. ,"1. Identify, analyse and evaluate information risk. ",RM,,,
APO12.03 Maintain a risk profile. ,"Maintain an inventory of known risk and risk attributes (including expected frequency, potential impact and responses) and of related resources, capabilities and current control activities. ",1. Create an information risk profile that includes information security aspects. ,RM,,,
APO12.04 Articulate risk. ,Provide information on the current state of IT-related exposures and opportunities in a timely manner to all required stakeholders for appropriate response. ,1. Define and implement risk evaluation and response strategies. ,RM,,,
APO12.05 Define a risk management action portfolio. ,Manage opportunities to reduce risk to an acceptable level as a portfolio. ,1. Continuously monitor IT and information risk levels. ,RM,,,
APO12.06 Respond to risk. ,Respond in a timely manner with effective measures to limit the magnitude of loss from IT-related events. ,1. Apply selected information security mitigation practices. ,IT,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ","1. Define the scope and boundaries of the ISMS in terms of the characteristics of the enterprise, the organisation, its location, assets and technology. Include details of, and justification for, any exclusions from the scope. ",ISO2,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ","2. Define an ISMS in accordance with enterprise policy and aligned with the enterprise, the organisation, its location, assets and technology. ",ISO2,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ",3. Align the ISMS with the overall enterprise approach to the management of security. ,RM,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ",4. Obtain management authorisation to implement and operate or change the ISMS. ,ISO2,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ",5. Prepare and maintain a statement of applicability that describes the scope of the ISMS. ,ISO2,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ",6. Define and communicate information security management roles and responsibilities. ,ISO2,,,
APO13.01 Establish and maintain an information security management system (ISMS).,"Establish and maintain an ISMS that provides a standard, formal and continuous approach to security management for information, enabling secure technology and business processes that are aligned with business requirements and enterprise security management. ",7. Communicate the ISMS approach. ,ISO2,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ","1. Formulate and maintain an information security risk treatment plan aligned with strategic objectives and the enterprise architecture. Ensure that the plan identifies the appropriate and optimal management practices and security solutions, with associated resources, responsibilities and priorities for managing identified information security risk. ",BCP,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ","2. Maintain, as part of the enterprise architecture, an inventory of solution components that are in place to manage security-related risk. ",IT,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ","3. Develop proposals to implement the information security risk treatment plan, supported by suitable business cases, which include consideration of funding and allocation of roles and responsibilities. ",BCP,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ",4. Provide input to the design and development of management practices and solutions selected from the information security risk treatment plan. ,IT,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ",5. Define how to measure the effectiveness of the selected management practices and specify how these measurements are to be used to assess effectiveness to produce comparable and reproducible results. ,ISO2,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ",6. Recommend information security training and awareness programmes. ,BCP,,,
APO13.02 Define and manage an information security risk treatment plan.,"Maintain an information security plan that describes how information security risk is to be managed and aligned with the enterprise strategy and enterprise architecture. Ensure that recommendations for implementing security improvements are based on approved business cases and implemented as an integral part of services and solutions development, then operated as an integral part of business operation. ","7. Integrate the planning, design, implementation and monitoring of information security procedures and other controls capable of enabling prevention, and prompt detection of security events, and response to security incidents. ",BCP,,,
APO13.03 Monitor and review the ISMS. ,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement. ","1. Undertake regular reviews of the effectiveness of the ISMS, including meeting ISMS policy and objectives, and review of security practices. Take into account results of security audits, incidents, results from effectiveness measurements, suggestions and feedback from all interested parties. ",IAD,,,
APO13.03 Monitor and review the ISMS. ,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement. ",2. Conduct internal ISMS audits at planned intervals. ,ISO2,,,
APO13.03 Monitor and review the ISMS. ,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement. ",3. Undertake a management review of the ISMS on a regular basis to ensure that the scope remains adequate and improvements in the ISMS process are identified. ,RM,,,
APO13.03 Monitor and review the ISMS. ,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement. ",4. Provide input to the maintenance of the security plans to take into account the findings of monitoring and review activities. ,RM,,,
APO13.03 Monitor and review the ISMS. ,"Maintain and regularly communicate the need for, and benefits of, continuous information security improvement. Collect and analyse data about the ISMS, and improve the effectiveness of the ISMS. Correct non-conformities to prevent recurrence. Promote a culture of security and continual improvement. ",5. Record actions and events that could have an impact on the effectiveness or performance of the ISMS. ,B,,,
BAI01.01 Maintain a standard approach for programme and project management.,"Maintain a standard approach for programme and project management that enables governance and management review and decision making and delivery management activities focussed on achieving value and goals (requirements, risk, costs, schedule, quality) for the business in a consistent manner. ",1. Incorporate information security requirements in the feasibility study for each project within programmes. ,IM,,,
BAI01.01 Maintain a standard approach for programme and project management.,"Maintain a standard approach for programme and project management that enables governance and management review and decision making and delivery management activities focussed on achieving value and goals (requirements, risk, costs, schedule, quality) for the business in a consistent manner. ",2. Establish a process to ensure that all project-related information that is gathered or produced as part of the project is secured. ,IM,,,
BAI01.02 Initiate a programme. ,"Initiate a programme to confirm the expected benefits and obtain authorisation to proceed. This includes agreeing on programme sponsorship, confirming the programme mandate through approval of the conceptual business case, appointing programme board or committee members, producing the programme brief, reviewing and updating the business case, developing a benefits realisation plan, and obtaining approval from sponsors to proceed. ",1. Plan information security activities for each project within the overall programme. ,IM,,,
BAI01.03 Manage stakeholder engagement. ,"Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information that reaches all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations. ",,,,,
BAI01.04 Develop and maintain the programme plan. ,"Formulate a programme to lay the initial groundwork and to position it for successful execution by formalising the scope of the work to be accomplished and identifying the deliverables that will satisfy its goals and deliver value. Maintain and update the programme plan and business case throughout the full economic life cycle of the programme, ensuring alignment with strategic objectives and reflecting the current status and updated insights gained to date. ",1. Develop an information security plan that identifies the information security environment and controls to be implemented by the project team to protect organisational assets. ,ISO2,,,
BAI01.04 Develop and maintain the programme plan. ,"Formulate a programme to lay the initial groundwork and to position it for successful execution by formalising the scope of the work to be accomplished and identifying the deliverables that will satisfy its goals and deliver value. Maintain and update the programme plan and business case throughout the full economic life cycle of the programme, ensuring alignment with strategic objectives and reflecting the current status and updated insights gained to date. ",2. Include the necessary resource(s) on projects to effectively identify and implement information security requirements. ,IM,,,
BAI01.05 Launch and execute the programme. ,"Launch and execute the programme to acquire and direct the resources needed to accomplish the goals and benefits of the programme as defined in the programme plan. In accordance with stage-gate or release review criteria, prepare for stage-gate, iteration or release reviews to report on the progress of the programme and to be able to make the case for funding up to the following stage-gate or release review. ",,,,,
"BAI01.06 Monitor, control and report on the programme outcomes.",Monitor and control programme (solution delivery) and enterprise (value/outcome) performance against plan throughout the full economic life cycle of the investment. Report this performance to the programme steering committee and the sponsors. ,,,,,
BAI01.07 Start up and initiate projects within a programme.,Define and document the nature and scope of the project to confirm and develop amongst stakeholders a common understanding of project scope and how it relates to other projects within the overall IT-enabled investment programme. The definition should be formally approved by the programme and project sponsors. ,,,,,
BAI01.08 Plan projects. ,"Establish and maintain a formal, approved integrated project plan (covering business and IT resources) to guide project execution and control throughout the life of the project. The scope of projects should be clearly defined and tied to building or enhancing business capability. ",1. Integrate information security in IT and business project management. ,IM,,,
BAI01.09 Manage programme and project quality. ,"Prepare and execute a quality management plan, describes the programme and project quality approach and how it will be implemented. The plan should be formally reviewed and agreed on by all parties concerned and then incorporated into the integrated programme and project plans. ",,,,,
BAI01.10 Manage programme and project risk. ,"Eliminate or minimise specific risk associated with programmes and projects through a systematic process of planning, identifying, analysing, responding to and monitoring and controlling the areas or events that have the potential to cause unwanted change. Risk faced by programme and project management should be established and centrally recorded. ",1. Establish an information risk log and remediation actions to identified risk. Periodically review and update the risk log. ,IM,,,
BAI01.10 Manage programme and project risk. ,"Eliminate or minimise specific risk associated with programmes and projects through a systematic process of planning, identifying, analysing, responding to and monitoring and controlling the areas or events that have the potential to cause unwanted change. Risk faced by programme and project management should be established and centrally recorded. ",2. Integrate information security projects in the enterprise’s programme and project management process. ,IM,,,
BAI01.11 Monitor and control projects. ,"Measure project performance against key project performance criteria such as schedule, quality, cost and risk. Identify any deviations from the expected. Assess the impact of deviations on the project and overall programme, and report results to key stakeholders. ",1. Perform periodic independent assessments of projects to ensure that information security requirements are implemented effectively. ,ISO2,,,
BAI01.12 Manage project resources and work packages.,"Manage project work packages by placing formal requirements on authorising and accepting work packages, and assigning and co-ordinating appropriate business and IT resources. ",,,,,
BAI01.13 Close a project or iteration. ,"At the end of each project, release or iteration, require the project stakeholders to ascertain whether the project, release or iteration delivered the planned results and value. Identify and communicate any outstanding activities required to achieve the planned results of the project and the benefits of the programme, and identify and document lessons learned for use on future projects, releases, iterations and programmes. ",,,,,
BAI01.14 Close a programme. ,Remove the programme from the active investment portfolio when there is agreement that the desired value has been achieved or when it is clear it will not be achieved within the value criteria set for the programme. ,,,,,
BAI02.01 Define and maintain business functional and technical requirements.,"Based on the business case, identify, prioritise, specify and agree on business information, functional, technical and control requirements covering the scope/understanding of all initiatives required to achieve the expected outcomes of the proposed IT-enabled business solution. ","1. Research, define and document information security requirements, i.e., confidentiality requirements, integrity requirements and availability requirements. ",ISO1,,,
BAI02.01 Define and maintain business functional and technical requirements.,"Based on the business case, identify, prioritise, specify and agree on business information, functional, technical and control requirements covering the scope/understanding of all initiatives required to achieve the expected outcomes of the proposed IT-enabled business solution. ","2. Research and analyse information security requirements with stakeholders, business sponsors and technical implementation personnel. ",ISO1,,,
BAI02.01 Define and maintain business functional and technical requirements.,"Based on the business case, identify, prioritise, specify and agree on business information, functional, technical and control requirements covering the scope/understanding of all initiatives required to achieve the expected outcomes of the proposed IT-enabled business solution. ",3. Ensure that the business requirements take into account the need to protect the security of information. ,ISO1,,,
BAI02.02 Perform a feasibility study and formulate alternative solutions.,"Perform a feasibility study of potential alternative solutions, assess their viability and select the preferred option. If appropriate, implement the selected option as a pilot to determine possible improvements. ",1. Ensure that information security requirements are included in the feasibility study. ,IM,,,
BAI02.03 Manage requirements risk. ,"Identify, document, prioritise and mitigate functional, technical and information processing-related risk associated with the enterprise requirements and proposed solution. ",1. Perform an information risk assessment to identify the information security controls for the relevant business activities (programme and project management included). ,RM,,,
BAI02.03 Manage requirements risk. ,"Identify, document, prioritise and mitigate functional, technical and information processing-related risk associated with the enterprise requirements and proposed solution. ",2. Co-operate with the risk office to manage the information risk. ,IM,,,
BAI02.04 Obtain approval of requirements and solutions.,"Co-ordinate feedback from affected stakeholders and, at predetermined key stages, obtain business sponsor or product owner approval and sign-off on functional and technical requirements, feasibility studies, risk analyses and recommended solutions. ","1. Validate information security requirements with stakeholders, business sponsors and technical implementation personnel. ",IM,,,
BAI03.01 Design high-level solutions. ,Develop and document high-level designs using agreed-on and appropriate phased or rapid agile development techniques. Ensure alignment with the IT strategy and enterprise architecture. Reassess and update the designs when significant issues occur during detailed design or building phases or as the solution evolves. Ensure that stakeholders actively participate in the design and approve each version. ,1. Define the information security specifications in line with high-level design. ,ISO1,,,
BAI03.02 Design detailed solution components. ,"Develop, document and elaborate detailed designs progressively using agreed-on and appropriate phased or rapid agile development techniques, addressing all components (business processes and related automated and manual controls, supporting IT applications, infrastructure services and technology products, and partners/suppliers). Ensure that the detailed design includes internal and external SLAs and OLAs. ",1. Integrate information security design in the solution components. ,IT,,,
BAI03.03 Develop solution components. ,"Develop solution components progressively in accordance with detailed designs following development methods and documentation standards, standards. Ensure that all control requirements in the business processes, supporting IT applications and infrastructure services, services and technology products, and partners/suppliers are addressed. ",1. Ensure that solution components integrate secure coding practices and secure infrastructure libraries. ,IT,,,
BAI03.04 Procure solution components. ,"Procure solution components based on the acquisition plan in accordance with requirements and detailed designs, architecture principles and standards, and the enterprise’s overall procurement and contract Ensure that all legal and contractual requirements are identified and addressed by the supplier. ",1. Ensure that information security requirements are part of the procurement planning and appropriate information security assessments have been performed. ,IT,,,
BAI03.05 Build solutions. ,"Install and configure solutions and integrate with business process activities. Implement control, security and auditability measures during configuration, and during integration of hardware and infrastructural software, to protect resources and ensure availability and data integrity. Update the services catalogue to reflect the new solutions. ",1. Verify that information security aspects are included in building the solution. ,IT,,,
BAI03.06 Perform quality assurance (QA). ,"Develop, resource and execute a QA plan aligned with the QMS to obtain the quality specified in the requirements definition and the enterprise’s quality policies and procedures. ",1. Verify that information security aspects are included in quality assurance. ,IT,,,
BAI03.07 Prepare for solution testing. ,"Establish a test plan and required environments to test the individual and integrated solution components, including the business processes and supporting services, applications and infrastructure. ",1. Include information security test cases in test plans. ,IT,,,
BAI03.08 Execute solution testing. ,"Execute testing continually during development, including control testing, in accordance with the defined test plan and development practices in the appropriate environment. Engage business process owners and end users in the test team. Identify, log and prioritise errors and issues identified during testing. ","1. Ensure information security of any production data used in test cases, including the use of a secure process to privatise sensitive data before use. ",P,,,
BAI03.09 Manage changes to requirements. ,Track the status of individual requirements (including all rejected requirements) throughout the project life cycle and manage the approval of changes to requirements. ,1. Manage changes to information security aspects and requirements. ,ISO2,,,
BAI03.10 Maintain solutions. ,Develop and execute a plan for the maintenance of solution and infrastructure components. Include periodic reviews against business needs and operational requirements. ,1. Ensure that updates to information security requirements are reflected in the maintenance updates of solutions. ,ISO1,,,
BAI03.11 Define IT services and maintain the service portfolio.,Define and agree on new or changed IT services and service level options. Document new or changed service definitions and service level options to be updated in the services portfolio. ,1. Define information security services in accordance with business needs and compliance/regulatory needs. ,ISO1,,,
BAI03.11 Define IT services and maintain the service portfolio.,Define and agree on new or changed IT services and service level options. Document new or changed service definitions and service level options to be updated in the services portfolio. ,2. Define information security processes within IT services. ,ISO1,,,
"BAI04.01 Assess current availability, performance and capacity and create a baseline.","Assess availability, performance and capacity of services and resources to ensure that cost-justifiable capacity and performance are available to support business needs and deliver against SLAs. Create availability, performance and capacity baselines for future comparison. ","1. Identify the technical and procedural information security issues related to availability, performance and capacity. ",ISO1,,,
BAI04.02 Assess business impact. ,"Identify important services to the enterprise, map services and resources to business processes, and identify business dependencies. Ensure that the impact of unavailable resources is fully agreed-on and accepted by the customer. Ensure that, for vital business functions, the SLA availability requirements can be satisfied. ","1. Assess the information security impact of potential unavailability, underperformance and lack of capacity. ",ISO1,,,
BAI04.03 Plan for new or changed service requirements.,"Plan and prioritise availability, performance and capacity implications of changing business needs and service requirements. ",1. Assess the impact of new or changed service requirements on information security. ,ISO1,,,
BAI04.04 Monitor and review availability and capacity.,"Monitor, measure, analyse, report and review availability, performance and capacity. Identify deviations from established baselines. Review trend analysis reports identifying any significant issues and variances, initiating actions where necessary, and ensuring that all outstanding issues are followed up. ",,,,,
"BAI04.05 Investigate and address availability, performance and capacity issues.","Address deviations by investigating and resolving identified availability, performance and capacity issues. ","1. Assess and investigate any information security issue that impacts availability, performance and capacity. ",ISO1,,,
BAI05.01 Establish the desire to change. ,Understand the scope and impact of the envisioned change and stakeholder readiness/willingness to change. Identify actions to motivate stakeholders to accept and want to make the change work successfully. ,1. Establish a proactive information security culture. ,ISO2,,,
BAI05.01 Establish the desire to change. ,Understand the scope and impact of the envisioned change and stakeholder readiness/willingness to change. Identify actions to motivate stakeholders to accept and want to make the change work successfully. ,"2. Identify and communicate information security watch or pain points and desirable behaviours, and include changes needed to address these points. ",ISO1,,,
BAI05.01 Establish the desire to change. ,Understand the scope and impact of the envisioned change and stakeholder readiness/willingness to change. Identify actions to motivate stakeholders to accept and want to make the change work successfully. ,"3. Provide visible leadership through executive (C-level, highest level) commitment to information security for facilitating change. ",ISO2,,,
BAI05.02 Form an effective implementation team. ,"Establish an effective implementation team by assembling appropriate members, creating trust, and establishing common goals and effectiveness measures. ",1. Designate qualified information security professionals to serve on implementation teams. ,IT,,,
BAI05.02 Form an effective implementation team. ,"Establish an effective implementation team by assembling appropriate members, creating trust, and establishing common goals and effectiveness measures. ",2. Develop a common vision for the information security team. ,ISO2,,,
BAI05.03 Communicate desired vision. ,"Communicate the desired vision for the change in the language of those affected by it. The communication should be made by senior management and include the rationale for, and benefits of, the change; the impacts of not making the change; and the vision, the road map and the involvement required of the various stakeholders. ",1. Communicate the information security vision in support of the corporate vision statement. ,ISO2,,,
BAI05.04 Empower role players and identify short-term wins.,"Empower those with implementation roles by ensuring that accountabilities are assigned, providing training, and aligning organisational structures and HR processes. Identify and communicate short-term wins that can be realised and are important from a change enablement perspective. ",1. Align information security practices to support the vision. ,ISO2,,,
BAI05.04 Empower role players and identify short-term wins.,"Empower those with implementation roles by ensuring that accountabilities are assigned, providing training, and aligning organisational structures and HR processes. Identify and communicate short-term wins that can be realised and are important from a change enablement perspective. ",2. Assign clear responsibility for each person on the team and include performance criteria to establish accountability. ,ISO2,,,
BAI05.05 Enable operation and use. ,"Plan and implement all technical, operational and usage aspects such that all those who are involved in the future state environment can exercise their responsibility. ",1. Develop practical information security measures. ,ISO1,,,
BAI05.06 Embed new approaches. ,"Embed the new approaches by tracking implemented changes, assessing the effectiveness of the operation and use plan, and sustaining ongoing awareness through regular communication. Take corrective measures as appropriate, which may include enforcing compliance. ",1. Follow up on day-to-day information security awareness and adapt the measures accordingly. ,ISO1,,,
BAI05.07 Sustain changes. ,"Sustain changes through effective training of new staff, ongoing communication campaigns, continued top management commitment, adoption monitoring and sharing of lessons learned across the enterprise. ",1. Inform and train new staff and provide refresh sessions regarding information security awareness. ,ISO1,,,
"BAI06.01 Evaluate, prioritise and authorise change requests.","Evaluate all requests for change to determine the impact on business processes and IT services, and to assess whether change will adversely affect the operational environment and introduce unacceptable risk. Ensure that changes are logged, prioritised, categorised, assessed, authorised, planned and scheduled. ",1. Ensure that assessment of the potential impact of changes on information security is undertaken. ,ISO1,,,
"BAI06.01 Evaluate, prioritise and authorise change requests.","Evaluate all requests for change to determine the impact on business processes and IT services, and to assess whether change will adversely affect the operational environment and introduce unacceptable risk. Ensure that changes are logged, prioritised, categorised, assessed, authorised, planned and scheduled. ",2. Ensure that the information security policy is adaptive to the business goals within an enterprise. ,ISO2,,,
