practice_id,activity
APO06.05,4. Define how costs are consolidated for the appropriate levels in the enterprise and how they will be presented to the stakeholders. The reports provide information to enable the timely identification of required corrective actions.
APO06.05,"5. Instruct those responsible for cost management to capture, collect and consolidate the data, and present and report the data to the appropriate budget owners. Budget analysts and owners jointly analyse deviations and compare performance to internal and industry benchmarks. The result of the analysis provides an explanation of significant deviations and the suggested corrective actions."
APO06.05,6. Ensure that the appropriate levels of management review the results of the analysis and approve suggested corrective actions.
APO06.05,"7. Align IT budgets and services to the IT infrastructure, enterprise processes and owners who use them."
APO06.05,8. Ensure that changes in cost structures and enterprise needs are identified and budgets and forecasts are revised as required.
APO06.05,"9. At regular intervals, and especially when budgets are cut due to financial constraints, identify ways to optimise costs and introduce efficiencies without jeopardising services."
APO07.01,"1. Evaluate staffing requirements on a regular basis or upon major changes to ensure that the:
• IT function has sufficient resources to adequately and appropriately support enterprise goals and objectives
• Enterprise has sufficient resources to adequately and appropriately support business processes and controls and IT-enabled initiatives"
APO07.01,2. Maintain business and IT personnel recruitment and retention processes in line with the overall enterprise’s personnel policies and procedures.
APO07.01,"3. Include background checks in the IT recruitment process for employees, contractors and vendors. The extent and frequency of these checks should depend on the sensitivity and/or criticality of the function."
APO07.01,"4. Establish flexible resource arrangements to support changing business needs, such as the use of transfers, external contractors and third-party service arrangements."
APO07.01,5. Ensure that cross-training takes place and there is backup to key staff to reduce single-person dependency.
APO07.02,"1. Minimise reliance on a single individual performing a critical job function through knowledge capture (documentation), knowledge sharing, succession planning, staff backup, cross-training and job rotation initiatives."
APO07.02,"2. As a security precaution, provide guidelines on a minimum time of annual vacation to be taken by key individuals."
APO07.02,"3. Take expedient actions regarding job changes, especially job terminations."
APO07.02,4. Regularly test staff backup plans.
APO07.03,"1. Define the required and currently available skills and competencies of internal and external resources to achieve enterprise, IT and process goals."
APO07.03,"2. Provide formal career planning and professional development to encourage competency development, opportunities for personal advancement and reduced dependence on key individuals."
APO07.03,3. Provide access to knowledge repositories to support the development of skills and competencies.
APO07.03,"4. Identify gaps between required and available skills and develop action plans to address them on an individual and collective basis, such as training (technical and behavioural skills), recruitment, redeployment and changed sourcing strategies."
APO07.03,"5. Develop and deliver training programmes based on organisational and process requirements, including requirements for enterprise knowledge, internal control, ethical conduct and security."
APO07.03,6. Conduct regular reviews to assess the evolution of the skills and competencies of the internal and external resources. Review succession planning.
APO07.03,"7. Review training materials and programmes on a regular basis to ensure adequacy with respect to changing enterprise requirements and their impact on necessary knowledge, skills and abilities."
APO07.04,1. Consider functional/enterprise goals as the context for setting individual goals.
APO07.04,"2. Set individual goals aligned with the relevant process goals so that there is a clear contribution to IT and enterprise goals. Base goals on SMART objectives (specific, measurable, achievable, relevant and time-bound) that reflect core competencies, enterprise values and skills required for the role(s)."
APO07.04,3. Compile 360-degree performance evaluation results.
APO07.04,4. Implement and communicate a disciplinary process.
APO07.04,"5. Provide specific instructions for the use and storage of personal information in the evaluation process, in compliance with applicable personal data and employment legislation."
APO07.04,6. Provide timely feedback regarding performance against the individual’s goals.
APO07.04,"7. Implement a remuneration/recognition process that rewards appropriate commitment, competency development and successful attainment of performance goals. Ensure that the process is applied consistently and in line with organisational policies."
APO07.04,8. Develop performance improvement plans based on the results of the evaluation process and identified training and skills development requirements.
APO07.05,1. Create and maintain an inventory of business and IT human resources.
APO07.05,"2. Understand the current and future demand for human resources to support the achievement of IT objectives and to deliver services and solutions based on the portfolio of current IT-related initiatives, the future investment portfolio and day-to-day operational needs."
APO07.05,"3. Identify shortfalls and provide input into sourcing plans as well as enterprise and IT recruitment processes. Create and review the staffing plan, keeping track of actual usage."
APO07.05,"4. Maintain adequate information on the time spent on different tasks, assignments, services or projects."
APO07.06,"1. Implement policies and procedures that describe when, how and what type of work can be performed or augmented by consultants and/or contractors, in accordance with the organisation’s enterprisewide IT procurement policy and the IT control framework."
APO07.06,"2. Obtain formal agreement from contractors at the commencement of the contract that they are required to comply with the enterprise’s IT control framework, such as policies for security clearance, physical and logical access control, use of facilities, information confidentiality requirements, and non-disclosure agreements."
APO07.06,"3. Advise contractors that management reserves the right to monitor and inspect all usage of IT resources, including email, voice communications, and all programs and data files."
APO07.06,"4. Provide contractors with a clear definition of their roles and responsibilities as part of their contracts, including explicit requirements to document their work to agreed-on standards and formats."
APO07.06,5. Review contractors’ work and base the approval of payments on the results.
APO07.06,6. Define all work performed by external parties in formal and unambiguous contracts.
APO07.06,7. Conduct periodic reviews to ensure that contract staff have signed and agreed on all necessary agreements.
APO07.06,8. Conduct periodic reviews to ensure that contractors’ roles and access rights are appropriate and in line with agreements.
APO08.01,"1. Identify business stakeholders, their interests and their areas of responsibilities."
APO08.01,"2. Review current enterprise direction, issues, strategic objectives, and alignment with enterprise architecture."
APO08.01,3. Maintain an awareness of business processes and associated activities and understand demand patterns that relate to service volumes and use.
APO08.01,4. Clarify business expectations for IT-enabled services and solutions and ensure that requirements are defined with associated business acceptance criteria and metrics.
APO08.01,"5. Confirm agreement of business expectations, acceptance criteria and metrics to relevant parts of IT by all stakeholders."
APO08.01,"6. Manage expectations by ensuring that business units understand priorities, dependencies, financial constraints and the need to schedule requests."
APO08.01,"7. Understand the current business environment, process constraints or issues, geographical expansion or contraction, and industry/regulatory drivers."
APO08.02,1. Understand technology trends and new technologies and how these can be applied innovatively to enhance business process performance.
APO08.02,"2. Play a proactive role in identifying and communicating with key stakeholders on opportunities, risk and constraints. This includes current and emerging technologies, services and business process models."
APO08.02,"3. Collaborate in agreeing on next steps for major new initiatives in co-operation with portfolio management, including business case development."
APO08.02,4. Ensure that the business and IT understand and appreciate the strategic objectives and enterprise architecture vision.
APO08.02,5. Co-ordinate when planning new IT initiatives to ensure integration and alignment with the enterprise architecture.
APO08.03,"1. Assign a relationship manager as a single point of contact for each significant business unit. Ensure that a single counterpart is identified in the business organisation and the counterpart has business understanding, sufficient technology awareness and the appropriate level of authority."
APO08.03,2. Manage the relationship in a formalised and transparent way that ensures a focus on achieving a common and shared goal of successful enterprise outcomes in support of strategic goals and within the constraint of budgets and risk tolerance.
APO08.03,3. Define and communicate a complaints and escalation procedure to resolve any relationship issues.
APO08.03,"4. Plan specific interactions and schedules based on mutually agreed-on objectives and common language (service and performance review meetings, review of new strategies or plans, etc.)."
APO08.03,5. Ensure that key decisions are agreed on and approved by relevant accountable stakeholders.
APO08.04,"1. Co-ordinate and communicate changes and transition activities such as project or change plans, schedules, release policies, release known errors, and training awareness."
APO08.04,"2. Co-ordinate and communicate operational activities, roles and responsibilities, including the definition of request types, hierarchical escalation, major outages (planned and unplanned), and contents and frequency of service reports."
APO08.04,3. Take ownership of the response to the business for major events that may influence the relationship with the business. Provide direct support if required.
APO08.04,"4. Maintain an end-to-end communication plan that defines the content, frequency and recipients of service delivery information, including status of value delivered and any risk identified."
APO08.05,1. Perform customer and provider satisfaction analysis. Ensure that issues are actioned and report results and status.
APO08.05,"2. Work together to identify, communicate and implement improvement initiatives."
APO08.05,3. Work with service management and process owners to ensure that IT-enabled services and service management processes are continually improved and the root causes of any issues are identified and resolved.
APO09.01,1. Assess current IT services and service levels to identify gaps between existing services and the business activities they support. Identify areas for improvement of existing services and service level options.
APO09.01,"2. Analyse, study and estimate future demand and confirm capacity of existing IT-enabled services."
APO09.01,3. Analyse business process activities to identify the need for new or redesigned IT services.
APO09.01,"4. Compare identified requirements to existing service components in the portfolio. If possible, package existing service components (IT services, service level options and service packages) into new service packages to meet identified business requirements."
APO09.01,"5. Where possible, match demands to service packages and create standardised services to obtain overall efficiencies."
APO09.01,6. Regularly review the portfolio of IT services with portfolio management and business relationship management to identify obsolete services. Agree on retirement and propose change.
APO09.02,"1. Publish in catalogues relevant live IT-enabled services, service packages and service level options from the portfolio."
APO09.02,2. Continually ensure that the service components in the portfolio and the related service catalogues are complete and up to date.
APO09.02,3. Inform business relationship management of any updates to the service catalogues.
APO09.03,"1. Analyse requirements for new or changed service agreements received from business relationship management to ensure that the requirements can be matched. Consider aspects such as service times, availability, performance, capacity, security, continuity, compliance and regulatory issues, usability, and demand constraints."
APO09.03,"2. Draft customer service agreements based on the services, service packages and service level options in the relevant service catalogues."
APO09.03,"3. Determine, agree on and document internal operational agreements to underpin the customer service agreements, if applicable."
APO09.03,"4. Liaise with supplier management to ensure that appropriate commercial contracts with external service providers underpin the customer service agreements, if applicable."
APO09.03,5. Finalise customer service agreements with business relationship management.
APO09.04,1. Establish and maintain measures to monitor and collect service level data.
APO09.04,"2. Evaluate performance and provide regular and formal reporting of service agreement performance, including deviations from the agreed-on values. Distribute this report to business relationship management."
APO09.04,3. Perform regular reviews to forecast and identify trends in service level performance.
APO09.04,4. Provide the appropriate management information to aid performance management.
APO09.04,5. Agree on action plans and remediations for any performance issues or negative trends.
APO09.05,"1. Regularly review service agreements according to the agreed-on terms to ensure that they are effective and up to date and changes in requirements, IT-enabled services, service packages or service level options are taken into account, when appropriate."
APO10.01,"1. Establish and maintain criteria relating to type, significance and criticality of suppliers and supplier contracts, enabling a focus on preferred and important suppliers."
APO10.01,2. Establish and maintain supplier and contract evaluation criteria to enable overall review and comparison of supplier performance in a consistent way.
APO10.01,"3. Identify, record and categorise existing suppliers and contracts according to defined criteria to maintain a detailed register of preferred suppliers that need to be managed carefully."
APO10.01,4. Periodically evaluate and compare the performance of existing and alternative suppliers to identify opportunities or a compelling need to reconsider current supplier contracts.
APO10.02,"1. Review all RFIs and RFPs to ensure that they:
• Clearly define requirements
• Include a procedure to clarify requirements
• Allow vendors sufficient time to prepare their proposals
• Clearly define award criteria and the decision process"
APO10.02,"2. Evaluate RFIs and RFPs in accordance with the approved evaluation process/criteria, and maintain documentary evidence of the evaluations. Verify the references of candidate vendors."
APO10.02,"3. Select the supplier that best fits the RFP. Document and communicate the decision, and sign the contract."
APO10.02,"4. In the specific case of software acquisition, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include ownership and licensing of intellectual property, maintenance, warranties, arbitration procedures, upgrade terms, and fit for purpose, including security, escrow and access rights."
APO10.02,"5. In the specific case of acquisition of development resources, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include ownership and licensing of intellectual property; fit for purpose, including development methodologies; testing; quality management processes, including required performance criteria; performance reviews; basis for payment; warranties; arbitration procedures; human resource management; and compliance with the enterprise’s policies."
APO10.02,6. Obtain legal advice on resource development acquisition agreements regarding ownership and licensing of intellectual property.
APO10.02,"7. In the specific case of acquisition of infrastructure, facilities and related services, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include service levels, maintenance procedures, access controls, security, performance review, basis for payment and arbitration procedures."
APO10.03,1. Assign relationship owners for all suppliers and make them accountable for the quality of service(s) provided.
APO10.03,"2. Specify a formal communication and review process, including supplier interactions and schedules."
APO10.03,"3. Agree on, manage, maintain and renew formal contracts with the supplier. Ensure that contracts conform to enterprise standards and legal and regulatory requirements."
APO10.03,4. Within contracts with key service suppliers include provisions for the review of supplier site and internal practices and controls by management or independent third parties.
APO10.03,5. Evaluate the effectiveness of the relationship and identify necessary improvements.
APO10.03,"6. Define, communicate and agree on ways to implement required improvements to the relationship."
APO10.03,"7. Use established procedures to deal with contract disputes, first using, wherever possible, effective relationships and communications to overcome service problems."
APO10.03,"8. Define and formalise roles and responsibilities for each service supplier. Where several suppliers combine to provide a service, consider allocating a lead contractor role to one of the suppliers to take responsibility for an overall contract."
APO10.04,"1. Identify, monitor and, where appropriate, manage risk relating to the supplier’s ability to deliver service efficiently, effectively, securely, reliably and continually."
APO10.04,"2. When defining the contract, provide for potential service risk by clearly defining service requirements, including software escrow agreements, alternative suppliers or standby agreements to mitigate possible supplier failure; security and protection of intellectual property (IP); and any legal or regulatory requirements."
APO10.05,1. Define and document criteria to monitor supplier performance aligned with service level agreements and ensure that the supplier regularly and transparently reports on agreed-on criteria.
APO10.05,"2. Monitor and review service delivery to ensure that the supplier is providing an acceptable quality of service, meeting requirements and adhering to contract conditions."
APO10.05,"3. Review supplier performance and value for money to ensure that they are reliable and competitive, compared with alternative suppliers and market conditions."
APO10.05,"4. Request independent reviews of supplier internal practices and controls, if necessary."
APO10.05,5. Record and assess review results periodically and discuss them with the supplier to identify needs and opportunities for improvement.
APO10.05,6. Monitor and evaluate externally available information about the supplier.
APO11.01,"1. Ensure that the IT control framework and the business and IT processes include a standard, formal and continuous approach to quality management that is aligned with enterprise requirements. Within the IT control framework and the business and IT processes, identify quality requirements and criteria (e.g., based on legal requirements and requirements from customers)."
APO11.01,"2. Define roles, tasks, decision rights and responsibilities for quality management in the organisational structure."
APO11.01,"3. Define quality management plans for important processes, projects or objectives in alignment with enterprise quality management criteria and policies. Record quality data."
APO11.01,"4. Monitor and measure the effectiveness and acceptance of quality management, and improve them when needed."
APO11.01,5. Align IT quality management with an enterprisewide quality system to encourage a standardised and continuous approach to quality.
APO11.01,6. Obtain input from management and external and internal stakeholders on the definition of quality requirements and quality management criteria.
APO11.01,"7. Effectively communicate the approach (e.g., through regular, formal quality training programmes)."
APO11.01,"8. Regularly review the continued relevance, efficiency and effectiveness of specific quality management processes. Monitor the achievement of quality objectives."
APO11.02,"1. Define the quality management standards, practices and procedures in line with the IT control framework’s requirements. Use industry best practices for reference when improving and tailoring the enterprise’s quality practices."
APO11.02,2. Consider the benefits and costs of quality certifications.
APO11.03,1. Focus quality management on customers by determining internal and external customer requirements and ensuring alignment of the IT standards and practices. Define and communicate roles and responsibilities concerning conflict resolution between the user/customer and the IT organisation.
APO11.03,"2. Manage the business needs and expectations for each business process, IT operational service and new solutions, and maintain their quality acceptance criteria. Capture quality acceptance criteria for inclusion in SLAs."
APO11.03,3. Communicate customer requirements and expectations throughout the business and IT organisation.
APO11.03,"4. Periodically obtain customer views on business process and service provisioning and IT solution delivery, to determine the impact on IT standards and practices and to ensure that customer expectations are met and are acted upon."
APO11.03,"5. Regularly monitor and review the QMS against agreed-on acceptance criteria. Include feedback from customers, users and management. Respond to discrepancies in review results to continuously improve the QMS."
APO11.03,6. Capture quality acceptance criteria for inclusion in SLAs.
APO11.04,"1. Monitor the quality of processes and services on an ongoing and systematic basis by describing, measuring, analysing, improving/engineering and controlling the processes."
APO11.04,2. Prepare and conduct quality reviews.
APO11.04,3. Report the review results and initiate improvements where appropriate.
APO11.04,"4. Monitor quality of processes, as well as the value quality provides. Ensure that measurement, monitoring and recording of information is used by the process owner to take appropriate corrective and preventive actions."
APO11.04,5. Monitor goal-driven quality metrics aligned to overall quality objectives covering the quality of individual projects and services.
APO11.04,6. Ensure that management and process owners regularly review quality management performance against defined quality metrics.
APO11.04,7. Analyse overall quality management performance results.
APO11.05,1. Integrate quality management practices in solutions development processes and practices.
APO11.05,2. Continuously monitor service levels and incorporate quality management practices in the service delivery processes and practices.
APO11.05,"3. Identify and document root causes for non-conformance, and communicate findings to IT management and other stakeholders in a timely manner to enable remedial action to be taken. Where appropriate, perform follow-up reviews."
APO11.06,"1. Maintain and regularly communicate the need for, and benefits of, continuous improvement."
APO11.06,2. Establish a platform to share best practices and to capture information on defects and mistakes to enable learning from them.
APO11.06,"3. Identify recurring examples of quality defects, determine their root cause, evaluate their impact and result, and agree on improvement actions with the service and project delivery teams."
APO11.06,"4. Identify examples of excellent quality delivery processes that can benefit other services or projects, and share these with the service and project delivery teams to encourage improvement."
APO11.06,5. Promote a culture of quality and continual improvement.
APO11.06,6. Establish a feedback loop between quality management and problem management.
APO11.06,7. Provide employees with training in the methods and tools of continual improvement.
APO11.06,"8. Benchmark the results of the quality reviews against internal historical data, industry guidelines, standards and data from similar types of enterprises."
APO12.01,"1. Establish and maintain a method for the collection, classification and analysis of IT risk-related data, accommodating multiple types of events, multiple categories of IT risk and multiple risk factors."
APO12.01,2. Record relevant data on the enterprise’s internal and external operating environment that could play a significant role in the management of IT risk.
APO12.01,"3. Survey and analyse the historical IT risk data and loss experience from externally available data and trends, industry peers through industry-based event logs, databases, and industry agreements for common event disclosure."
APO12.01,"4. Record data on risk events that have caused or may cause impacts to IT benefit/value enablement, IT programme and project delivery, and/or IT operations and service delivery. Capture relevant data from related issues, incidents, problems and investigations."
APO12.01,"5. For similar classes of events, organise the collected data and highlight contributing factors. Determine common contributing factors across multiple events."
APO12.01,6. Determine the specific conditions that existed or were absent when risk events occurred and the way the conditions affected event frequency and loss magnitude.
APO12.01,7. Perform periodic event and risk factor analysis to identify new or emerging risk issues and to gain an understanding of the associated internal and external risk factors.
APO12.02,"1. Define the appropriate breadth and depth of risk analysis efforts, considering all risk factors and the business criticality of assets. Set the risk analysis scope after performing a cost-benefit analysis."
APO12.02,"2. Build and regularly update IT risk scenarios, including compound scenarios of cascading and/or coincidental threat types, and develop expectations for specific control activities, capabilities to detect and other response measures."
APO12.02,"3. Estimate the frequency and magnitude of loss or gain associated with IT risk scenarios. Take into account all applicable risk factors, evaluate known operational controls and estimate residual risk levels."
APO12.02,4. Compare residual risk to acceptable risk tolerance and identify exposures that may require a risk response.
APO12.02,"5. Analyse cost-benefit of potential risk response options such as avoid, reduce/mitigate, transfer/share, and accept and exploit/seize. Propose the optimal risk response."
APO12.02,6. Specify high-level requirements for projects or programmes that will implement the selected risk responses. Identify requirements and expectations for appropriate key controls for risk mitigation responses.
APO12.02,"7. Validate the risk analysis results before using them in decision making, confirming that the analysis aligns with enterprise requirements and verifying that estimations were properly calibrated and scrutinised for bias."
APO12.03,"1. Inventory business processes, including supporting personnel, applications, infrastructure, facilities, critical manual records, vendors, suppliers and outsourcers, and document the dependency on IT service management processes and IT infrastructure resources."
APO12.03,2. Determine and agree on which IT services and IT infrastructure resources are essential to sustain the operation of business processes. Analyse dependencies and identify weak links.
APO12.03,"3. Aggregate current risk scenarios by category, business line and functional area."
APO12.03,"4. On a regular basis, capture all risk profile information and consolidate it into an aggregated risk profile."
APO12.03,"5. Based on all risk profile data, define a set of risk indicators that allow the quick identification and monitoring of current risk and risk trends."
APO12.03,"6. Capture information on IT risk events that have materialised, for inclusion in the IT risk profile of the enterprise."
APO12.03,"7. Capture information on the status of the risk action plan, for inclusion in the IT risk profile of the enterprise."
APO12.04,"1. Report the results of risk analysis to all affected stakeholders in terms and formats useful to support enterprise decisions. Wherever possible, include probabilities and ranges of loss or gain along with confidence levels that enable management to balance risk-return."
APO12.04,"2. Provide decision makers with an understanding of worst-case and most-probable scenarios, due diligence exposures, and significant reputation, legal or regulatory considerations."
APO12.04,"3. Report the current risk profile to all stakeholders, including effectiveness of the risk management process, control effectiveness, gaps, inconsistencies, redundancies, remediation status, and their impacts on the risk profile."
APO12.04,"4. Review the results of objective third-party assessments, internal audit and quality assurance reviews, and map them to the risk profile. Review identified gaps and exposures to determine the need for additional risk analysis."
APO12.04,"5. On a periodic basis, for areas with relative risk and risk capacity parity, identify IT-related opportunities that would allow the acceptance of greater risk and enhanced growth and return."
APO12.05,1. Maintain an inventory of control activities that are in place to manage risk and that enable risk to be taken in line with risk appetite and tolerance. Classify control activities and map them to specific IT risk statements and aggregations of IT risk.
APO12.05,2. Determine whether each organisational entity monitors risk and accepts accountability for operating within its individual and portfolio tolerance levels.
APO12.05,"3. Define a balanced set of project proposals designed to reduce risk and/or projects that enable strategic enterprise opportunities, considering cost/benefits, effect on current risk profile and regulations."
APO12.06,"1. Prepare, maintain and test plans that document the specific steps to take when a risk event may cause a significant operational or development incident with serious business impact. Ensure that plans include pathways of escalation across the enterprise."
APO12.06,"2. Categorise incidents, and compare actual exposures against risk tolerance thresholds. Communicate business impacts to decision makers as part of reporting, and update the risk profile."
APO12.06,3. Apply the appropriate response plan to minimise the impact when risk incidents occur.
APO12.06,"4. Examine past adverse events/losses and missed opportunities and determine root causes. Communicate root cause, additional risk response requirements and process improvements to appropriate decision makers and ensure that the cause, response requirements and process improvement are included in risk governance processes."
APO13.01,"1. Define the scope and boundaries of the ISMS in terms of the characteristics of the enterprise, the organisation, its location, assets and technology. Include details of, and justification for, any exclusions from the scope."
APO13.01,"2. Define an ISMS in accordance with enterprise policy and aligned with the enterprise, the organisation, its location, assets and technology."
APO13.01,3. Align the ISMS with the overall enterprise approach to the management of security.
APO13.01,4. Obtain management authorisation to implement and operate or change the ISMS.
APO13.01,5. Prepare and maintain a statement of applicability that describes the scope of the ISMS.
APO13.01,6. Define and communicate Information security management roles and responsibilities.
APO13.01,7. Communicate the ISMS approach.
APO13.02,"1. Formulate and maintain an information security risk treatment plan aligned with strategic objectives and the enterprise architecture. Ensure that the plan identifies the appropriate and optimal management practices and security solutions, with associated resources, responsibilities and priorities for managing identified information security risk."
APO13.02,2. Maintain as part of the enterprise architecture an inventory of solution components that are in place to manage security-related risk.
APO13.02,"3. Develop proposals to implement the information security risk treatment plan, supported by suitable business cases, which include consideration of funding and allocation of roles and responsibilities."
APO13.02,4. Provide input to the design and development of management practices and solutions selected from the information security risk treatment plan.
APO13.02,5. Define how to measure the effectiveness of the selected management practices and specify how these measurements are to be used to assess effectiveness to produce comparable and reproducible results.
APO13.02,6. Recommend information security training and awareness programmes.
APO13.02,"7. Integrate the planning, design, implementation and monitoring of information security procedures and other controls capable of enabling prompt prevention, detection of security events and response to security incidents."
APO13.03,"1. Undertake regular reviews of the effectiveness of the ISMS including meeting ISMS policy and objectives, and review of security practices. Take into account results of security audits, incidents, results from effectiveness measurements, suggestions and feedback from all interested parties."
APO13.03,2. Conduct internal ISMS audits at planned intervals.
APO13.03,3. Undertake a management review of the ISMS on a regular basis to ensure that the scope remains adequate and improvements in the ISMS process are identified.
APO13.03,4. Provide input to the maintenance of the security plans to take into account the findings of monitoring and reviewing activities.
APO13.03,5. Record actions and events that could have an impact on the effectiveness or performance of the ISMS.
BAI01.01,"1. Maintain and enforce a standard approach to programme and project management aligned to the enterprise’s specific environment and with good practice based on defined process and use of appropriate technology. Ensure that the approach covers the full life cycle and disciplines to be followed, including the management of scope, resources, risk, cost, quality, time, communication, stakeholder involvement, procurement, change control, integration and benefit realisation."
BAI01.01,2. Update the programme and project management approach based on lessons learned from its use.
BAI01.02,"1. Agree on programme sponsorship and appoint a programme board/committee with members who have strategic interest in the programme, have responsibility for the investment decision making, will be significantly impacted by the programme and will be required to enable delivery of the change."
BAI01.02,"2. Confirm the programme mandate with sponsors and stakeholders. Articulate the strategic objectives for the programme, potential strategies for delivery, improvement and benefits that are expected to result, and how the programme fits with other initiatives."
BAI01.02,"3. Develop a detailed business case for a programme, if warranted. Involve all key stakeholders to develop and document a complete understanding of the expected enterprise outcomes, how they will be measured, the full scope of initiatives required, the risk involved and the impact on all aspects of the enterprise. Identify and assess alternative courses of action to achieve the desired enterprise outcomes."
BAI01.02,"4. Develop a benefits realisation plan that will be managed throughout the programme to ensure that planned benefits always have owners and are achieved, sustained and optimised."
BAI01.02,"5. Prepare and submit for in-principle approval the initial (conceptual) programme business case, providing essential decision-making information regarding purpose, contribution to business objectives, expected value created, time frames, etc."
BAI01.02,"6. Appoint a dedicated manager for the programme, with the commensurate competencies and skills to manage the programme effectively and efficiently."
BAI01.03,"1. Plan how stakeholders inside and outside the enterprise will be identified, analysed, engaged and managed through the life cycle of the projects."
BAI01.03,"2. Identify, engage and manage stakeholders by establishing and maintaining appropriate levels of co-ordination, communication and liaison to ensure that they are involved in the programme/project."
BAI01.03,3. Measure the effectiveness of stakeholder engagement and take remedial actions as required.
BAI01.03,4. Analyse stakeholder interests and requirements.
BAI01.04,"1. Define and document the programme plan covering all projects, including what is needed to bring about changes to the enterprise; its image, products and services; business processes; people skills and numbers; relationships with stakeholders, customers, suppliers and others; technology needs; and organisational restructuring required to achieve the programme’s expected enterprise outcomes."
BAI01.04,"2. Specify required resources and skills to execute the project, including project managers and project teams as well as business resources. Specify funding, cost, schedule and inter-dependencies of multiple projects. Specify the basis for acquiring and assigning competent staff members and/or contractors to the projects. Define the roles and responsibilities for all team members and other interested parties."
BAI01.04,"3. Assign accountability clearly and unambiguously for each project, including achieving the benefits, controlling the costs, managing the risk and co-ordinating the project activities."
BAI01.04,4. Ensure that there is effective communication of programme plans and progress reports amongst all projects and with the overall programme. Ensure that any changes made to individual plans are reflected in the other enterprise programme plans.
BAI01.04,"5. Maintain the programme plan to ensure that it is up to date and reflects alignment with current strategic objectives, actual progress and material changes to outcomes, benefits, costs and risk. Have the business drive the objectives and prioritise the work throughout to ensure that the programme as designed will meet enterprise requirements. Review progress of individual projects and adjust the projects as necessary to meet scheduled milestones releases."
BAI01.04,6. Update and maintain throughout the programme’s economic life the business case and a benefits register to identify and define key benefits arising from undertaking the programme.
BAI01.04,7. Prepare a programme budget that reflects the full economic life cycle costs and the associated financial and non-financial benefits.
BAI01.05,"1. Plan, resource and commission the necessary projects required to achieve the programme results, based on funding review and approvals at each stage-gate review."
BAI01.05,"2. Establish agreed-on stages of the development process (development checkpoints). At the end of each stage, facilitate formal discussions of approved criteria with the stakeholders. After successful completion of functionality, performance and quality reviews, and before finalising stage activities, obtain formal approval and sign-off from all stakeholders and the sponsor/business process owner."
BAI01.05,"3. Undertake a benefits realisation process throughout the programme to ensure that planned benefits always have owners and are likely to be achieved, sustained and optimised. Monitor benefits delivery and report against performance targets at the stage-gate or iteration and release reviews. Perform root cause analysis for deviations from the plan and identify and address any necessary remedial actions."
BAI01.05,"4. Manage each programme or project to ensure that decision making and delivery activities are focussed on value by achieving benefits for the business and goals in a consistent manner, addressing risk and achieving stakeholder requirements."
BAI01.05,"5. Set up programme/project management office(s) and plan audits, quality reviews, phase/stage-gate reviews and reviews of realised benefits."
BAI01.06,"1. Monitor and control the performance of the overall programme and the projects within the programme, including contributions of the business and IT to the projects, and report in a timely, complete and accurate fashion. Reporting may include schedule, funding, functionality, user satisfaction, internal controls and acceptance of accountabilities."
BAI01.06,"2. Monitor and control performance against enterprise and IT strategies and goals, and report to management on enterprise changes implemented, benefits realised against the benefits realisation plan, and the adequacy of the benefits realisation process."
BAI01.06,"3. Monitor and control IT services, assets and resources created or changed as a result of the programme. Note implementation and in-service dates. Report to management on performance levels, sustained service delivery and contribution to value."
BAI01.06,"4. Manage programme performance against key criteria (e.g., scope, schedule, quality, benefits realisation, costs, risk, velocity), identify deviations from the plan and take timely remedial action when required."
BAI01.06,"5. Monitor individual project performance related to delivery of the expected capabilities, schedule, benefits realisation, costs, risk or other metrics to identify potential impacts on programme performance. Take timely remedial action when required."
BAI01.06,"6. Update operational IT portfolios reflecting changes that result from the programme in the relevant IT service, asset or resource portfolios."
BAI01.06,"7. In accordance with stage-gate, release or iteration review criteria, undertake reviews to report on the progress of the programme so that management can make go/no-go or adjustment decisions and approve further funding up to the following stage-gate, release or iteration."
BAI01.07,"1. To create a common understanding of project scope amongst stakeholders, provide to the stakeholders a clear written statement defining the nature, scope and benefit of every project."
BAI01.07,2. Ensure that each project has one or more sponsors with sufficient authority to manage execution of the project within the overall programme.
BAI01.07,"3. Ensure that key stakeholders and sponsors within the enterprise and IT agree on and accept the requirements for the project, including definition of project success (acceptance) criteria and key performance indicators (KPIs)."
BAI01.07,4. Ensure that the project definition describes the requirements for a project communication plan that identifies internal and external project communications.
BAI01.07,"5. With the approval of stakeholders, maintain the project definition throughout the project, reflecting changing requirements."
BAI01.07,"6. To track the execution of a project, put in place mechanisms such as regular reporting and stage-gate, release or phase reviews in a timely manner with appropriate approval."
BAI01.08,"1. Develop a project plan that provides information to enable management to control project progress progressively. The plan should include details of project deliverables and acceptance criteria, required internal and external resources and responsibilities, clear work breakdown structures and work packages, estimates of resources required, milestones/release plan/phases, key dependencies, and identification of a critical path."
BAI01.08,"2. Maintain the project plan and any dependent plans (e.g., risk plan, quality plan, benefits realisation plan) to ensure that they are up to date and reflect actual progress and approved material changes."
BAI01.08,3. Ensure that there is effective communication of project plans and progress reports amongst all projects and with the overall programme. Ensure that any changes made to individual plans are reflected in the other plans.
BAI01.08,"4. Determine the activities, interdependencies and required collaboration and communication among multiple projects within a programme."
