practise_id,practice_name,practice_governance
DSS02.03,"Verify, approve and fulfil service requests.","Select the appropriate request procedures and verify that the service requests fulfil defined request criteria. Obtain approval, if required, and fulfil the requests."
DSS02.04,"Investigate, diagnose and allocate incidents.","Identify and record incident symptoms, determine possible causes, and allocate for resolution."
DSS02.05,Resolve and recover from incidents.,"Document, apply and test the identified solutions or workarounds and perform recovery actions to restore the IT-related service."
DSS02.06,Close service requests and incidents.,"Verify satisfactory incident resolution and/or request fulfilment, and close."
DSS02.07,Track status and produce reports.,"Regularly track, analyse and report incident and request fulfilment trends to provide information for continual improvement."
DSS03.01,Identify and classify problems.,"Define and implement criteria and procedures to report problems identified, including problem classification, categorisation and prioritisation."
DSS03.02,Investigate and diagnose problems.,Investigate and diagnose problems using relevant subject management experts to assess and analyse root causes.
DSS03.03,Raise known errors.,"As soon as the root causes of problems are identified, create known-error records and an appropriate workaround, and identify potential solutions."
DSS03.04,Resolve and close problems.,"Identify and initiate sustainable solutions addressing the root cause, raising change requests via the established change management process if required to resolve errors. Ensure that the personnel affected are aware of the actions taken and the plans developed to prevent future incidents from occurring."
DSS03.05,Perform proactive problem management.,Collect and analyse operational data (especially incident and change records) to identify emerging trends that may indicate problems. Log problem records to enable assessment.
DSS04.01,"Define the business continuity policy, objectives and scope.",Define business continuity policy and scope aligned with enterprise and stakeholder objectives.
DSS04.02,Maintain a continuity strategy.,Evaluate business continuity management options and choose a cost-effective and viable continuity strategy that will ensure enterprise recovery and continuity in the face of a disaster or other major incident or disruption.
DSS04.03,Develop and implement a business continuity response.,Develop a business continuity plan (BCP) based on the strategy that documents the procedures and information in readiness for use in an incident to enable the enterprise to continue its critical activities.
DSS04.04,"Exercise, test and review the BCP.",Test the continuity arrangements on a regular basis to exercise the recovery plans against predetermined outcomes and to allow innovative solutions to be developed and help to verify over time that the plan will work as anticipated.
DSS04.05,"Review, maintain and improve the continuity plan.","Conduct a management review of the continuity capability at regular intervals to ensure its continued suitability, adequacy and effectiveness. Manage changes to the plan in accordance with the change control process to ensure that the continuity plan is kept up to date and continually reflects actual business requirements."
DSS04.06,Conduct continuity plan training.,Provide all concerned internal and external parties with regular training sessions regarding the procedures and their roles and responsibilities in case of disruption.
DSS04.07,Manage backup arrangements.,Maintain availability of business-critical information.
DSS04.08,Conduct post-resumption review.,Assess the adequacy of the BCP following the successful resumption of business processes and services after a disruption.
DSS05.01,Protect against malware.,"Implement and maintain preventive, detective and corrective measures in place (especially up-to-date security patches and virus control) across the enterprise to protect information systems and technology from malware (e.g., viruses, worms, spyware, spam)."
DSS05.02,Manage network and connectivity security.,Use security measures and related management procedures to protect information over all methods of connectivity.
DSS05.03,Manage endpoint security.,"Ensure that endpoints (e.g., laptop, desktop, server, and other mobile and network devices or software) are secured at a level that is equal to or greater than the defined security requirements of the information processed, stored or transmitted."
DSS05.04,Manage user identity and logical access.,Ensure that all users have information access rights in accordance with their business requirements and co-ordinate with business units that manage their own access rights within business processes.
DSS05.05,Manage physical access to IT assets.,"Define and implement procedures to grant, limit and revoke access to premises, buildings and areas according to business needs, including emergencies. Access to premises, buildings and areas should be justified, authorised, logged and monitored. This should apply to all persons entering the premises, including staff, temporary staff, clients, vendors, visitors or any other third party."
DSS05.06,Manage sensitive documents and output devices.,"Establish appropriate physical safeguards, accounting practices and inventory management over sensitive IT assets, such as special forms, negotiable instruments, special-purpose printers or security tokens."
DSS05.07,Monitor the infrastructure for security-related events.,"Using intrusion detection tools, monitor the infrastructure for unauthorised access and ensure that any events are integrated with general event monitoring and incident management."
DSS06.01,Align control activities embedded in business processes with enterprise objectives.,"Continually assess and monitor the execution of the business process activities and related controls, based on enterprise risk, to ensure that the processing controls are aligned with business needs."
DSS06.02,Control the processing of information.,"Operate the execution of the business process activities and related controls, based on enterprise risk, to ensure that information processing is valid, complete, accurate, timely, and secure (i.e., reflects legitimate and authorised business use)."
DSS06.03,"Manage roles, responsibilities, access privileges and levels of authority.","Manage the business roles, responsibilities, levels of authority and segregation of duties needed to support the business process objectives. Authorise access to any information assets related to business information processes, including those under the custody of the business, IT and third parties. This ensures that the business knows where the data are and who is handling data on its behalf."
DSS06.04,Manage errors and exceptions.,Manage business process exceptions and errors and facilitate their correction. Include escalation of business process errors and exceptions and the execution of defined corrective actions. This provides assurance of the accuracy and integrity of the business information process.
DSS06.05,Ensure traceability of information events and accountabilities.,Ensure that business information can be traced to the originating business event and accountable parties. This enables traceability of the information through its life cycle and related processes. This provides assurance that information that drives the business is reliable and has been processed in accordance with defined objectives.
DSS06.06,Secure information assets.,"Secure information assets accessible by the business through approved methods, including information in electronic form (such as methods that create new assets in any form, portable media devices, user applications and storage devices), information in physical form (such as source documents or output reports) and information during transit. This benefits the business by providing end-to-end safeguarding of information."
MEA01.01,Establish a monitoring approach.,"Engage with stakeholders to establish and maintain a monitoring approach to define the objectives, scope and method for measuring business solution and service delivery and contribution to enterprise objectives. Integrate this approach with the corporate performance management system."
MEA01.02,Set performance and conformance targets.,"Work with stakeholders to define, periodically review, update and approve performance and conformance targets within the performance measurement system."
MEA01.03,Collect and process performance and conformance data.,Collect and process timely and accurate data aligned with enterprise approaches.
MEA01.04,Analyse and report performance.,"Periodically review and report performance against targets, using a method that provides a succinct all-around view of IT performance and fits within the enterprise monitoring system."
MEA01.05,Ensure the implementation of corrective actions.,"Assist stakeholders in identifying, initiating and tracking corrective actions to address anomalies."
MEA02.01,Monitor internal controls.,"Continuously monitor, benchmark and improve the IT control environment and control framework to meet organisational objectives."
MEA02.02,Review business process controls effectiveness.,"Review the operation of controls, including a review of monitoring and test evidence, to ensure that controls within business processes operate effectively. Include activities to maintain evidence of the effective operation of controls through mechanisms such as periodic testing of controls, continuous controls monitoring, independent assessments, command and control centres, and network operations centres. This provides the business with the assurance of control effectiveness to meet requirements related to business, regulatory and social responsibilities."
MEA02.03,Perform control self-assessments.,"Encourage management and process owners to take positive ownership of control improvement through a continuing programme of self-assessment to evaluate the completeness and effectiveness of management’s control over processes, policies and contracts."
MEA02.04,Identify and report control deficiencies.,Identify control deficiencies and analyse and identify their underlying root causes. Escalate control deficiencies and report to stakeholders.
MEA02.05,Ensure that assurance providers are independent and qualified.,"Ensure that the entities performing assurance are independent from the function, groups or organisations in scope. The entities performing assurance should demonstrate an appropriate attitude and appearance, competence in the skills and knowledge necessary to perform assurance, and adherence to codes of ethics and professional standards."
MEA02.06,Plan assurance initiatives.,"Plan assurance initiatives based on enterprise objectives and strategic priorities, inherent risk, resource constraints, and sufficient knowledge of the enterprise."
MEA02.07,Scope assurance initiatives.,"Define and agree with management on the scope of the assurance initiative, based on the assurance objectives."
MEA02.08,Execute assurance initiatives.,"Execute the planned assurance initiative. Report on identified findings. Provide positive assurance opinions, where appropriate, and recommendations for improvement relating to identified operational performance, external compliance and internal control system residual risk."
MEA03.01,Identify external compliance requirements.,"On a continuous basis, identify and monitor for changes in local and international laws, regulations and other external requirements that must be complied with from an IT perspective."
MEA03.02,Optimise response to external requirements.,"Review and adjust policies, principles, standards, procedures and methodologies to ensure that legal, regulatory and contractual requirements are addressed and communicated. Consider industry standards, codes of good practice, and best practice guidance for adoption and adaptation."
MEA03.03,Confirm external compliance.,"Confirm compliance of policies, principles, standards, procedures and methodologies with legal, regulatory and contractual requirements."
MEA03.04,Obtain assurance of external compliance.,"Obtain and report assurance of compliance and adherence with policies, principles, standards, procedures and methodologies. Confirm that corrective actions to address compliance gaps are closed in a timely manner."
